,round,scenario,algorithm,metric,at,value
0,2,100000,CART,map,3,0.7610753361357064
0,2,100000,CART,map,5,0.7542177205378171
0,2,100000,CART,map,7,0.7465074741102952
0,2,100000,CART,map,9,0.7392157351939971
0,2,100000,CART,map,11,0.7338268643283027
0,2,100000,CART,map,13,0.730273115933316
0,2,100000,CART,map,15,0.7282761058472128
0,2,100000,CART,mrr,1,0.7665682854843038
0,2,100000,CART,mrr,3,0.8635184688310528
0,2,100000,CART,mrr,5,0.8690322869153028
0,2,100000,CART,mrr,7,0.8692558805115822
0,2,100000,CART,mrr,9,0.8692558805115822
0,2,100000,CART,mrr,11,0.8692558805115822
0,2,100000,CART,mrr,13,0.8692558805115822
0,2,100000,CART,mrr,15,0.8692558805115822
0,2,100000,RF,map,1,0.775630703166935
0,2,100000,RF,map,3,0.7727903023796743
0,2,100000,RF,map,5,0.766224279835391
0,2,100000,RF,map,7,0.7593160003310682
0,2,100000,RF,map,9,0.7530325366041328
0,2,100000,RF,map,11,0.7476264276609624
0,2,100000,RF,map,13,0.7436384231687638
0,2,100000,RF,map,15,0.7410654102690225
0,2,100000,RF,mrr,1,0.775630703166935
0,2,100000,RF,mrr,3,0.8704151010914297
0,2,100000,RF,mrr,5,0.8748971193415638
0,2,100000,RF,mrr,7,0.8751207729468599
0,2,100000,RF,mrr,9,0.8751207729468599
0,2,100000,RF,mrr,11,0.8751207729468599
0,2,100000,RF,mrr,13,0.8751207729468599
0,2,100000,RF,mrr,15,0.8751207729468599
0,2,100000,GNB,map,1,0.7788513150831992
0,2,100000,GNB,map,3,0.7767042404723564
0,2,100000,GNB,map,5,0.7705683038110573
0,2,100000,GNB,map,7,0.7640419059912388
0,2,100000,GNB,map,9,0.7578851281695755
0,2,100000,GNB,map,11,0.753402494136099
0,2,100000,GNB,map,13,0.7509383240549495
0,2,100000,GNB,map,15,0.7495730930952517
0,2,100000,GNB,mrr,1,0.7788513150831992
0,2,100000,GNB,mrr,3,0.8739935587761675
0,2,100000,GNB,mrr,5,0.8773886205045626
0,2,100000,GNB,mrr,7,0.8774780819466811
0,2,100000,GNB,mrr,9,0.8774780819466811
0,2,100000,GNB,mrr,11,0.8774780819466811
0,2,100000,GNB,mrr,13,0.8774780819466811
0,2,100000,GNB,mrr,15,0.8774780819466811
0,2,100000,SVC,map,1,0.7853501475717736
0,2,100000,SVC,map,3,0.7788510270399188
0,2,100000,SVC,map,5,0.7721335300956981
0,2,100000,SVC,map,7,0.7661562770175595
0,2,100000,SVC,map,9,0.7608633233103236
0,2,100000,SVC,map,11,0.7558684518643908
0,2,100000,SVC,map,13,0.751495182580075
0,2,100000,SVC,map,15,0.7482992813345167
0,2,100000,SVC,mrr,1,0.7853501475717736
0,2,100000,SVC,mrr,3,0.8755478043108846
0,2,100000,SVC,mrr,5,0.8800554512118772
0,2,100000,SVC,mrr,7,0.8802726564196915
0,2,100000,SVC,mrr,9,0.8802726564196915
0,2,100000,SVC,mrr,11,0.8802726564196915
0,2,100000,SVC,mrr,13,0.8802726564196915
0,2,100000,SVC,mrr,15,0.8802726564196915
0,2,100000,recModel,map,1,0.6839280922994365
0,2,100000,recModel,map,3,0.678159377515428
0,2,100000,recModel,map,5,0.6721062516769518
0,2,100000,recModel,map,7,0.665553626870657
0,2,100000,recModel,map,9,0.6592492626143462
0,2,100000,recModel,map,11,0.6534706046664238
0,2,100000,recModel,map,13,0.6477800414803779
0,2,100000,recModel,map,15,0.6421860269633277
0,2,100000,recModel,mrr,1,0.6839280922994365
0,2,100000,recModel,mrr,3,0.802030229854217
0,2,100000,recModel,mrr,5,0.8127627224756283
0,2,100000,recModel,mrr,7,0.814117060830235
0,2,100000,recModel,mrr,9,0.8142139513886226
0,2,100000,recModel,mrr,11,0.8142139513886226
0,2,100000,recModel,mrr,13,0.8142139513886226
0,2,100000,recModel,mrr,15,0.8142139513886226
0,3,100000,KNN,map,1,0.7834360761190029
0,3,100000,KNN,map,3,0.7787903153756812
0,3,100000,KNN,map,5,0.7727117394800321
0,3,100000,KNN,map,7,0.7654619763567001
0,3,100000,KNN,map,9,0.7585358062440358
0,3,100000,KNN,map,11,0.7527035944853117
0,3,100000,KNN,map,13,0.7487595622377935
0,3,100000,KNN,map,15,0.7464738655381062
0,3,100000,KNN,mrr,1,0.7834360761190029
0,3,100000,KNN,mrr,3,0.876619315643706
0,3,100000,KNN,mrr,5,0.8805190744215133
0,3,100000,KNN,mrr,7,0.880557363658409
0,3,100000,KNN,mrr,9,0.880557363658409
0,3,100000,KNN,mrr,11,0.880557363658409
0,3,100000,KNN,mrr,13,0.880557363658409
0,3,100000,KNN,mrr,15,0.880557363658409
0,3,100000,PER,map,1,0.7804878048780488
0,3,100000,PER,map,3,0.7773310700139969
0,3,100000,PER,map,5,0.7718393936686618
0,3,100000,PER,map,7,0.7647988842637921
0,3,100000,PER,map,9,0.7585129376680936
0,3,100000,PER,map,11,0.7533955279189132
0,3,100000,PER,map,13,0.7503285470917704
0,3,100000,PER,map,15,0.7486183439253171
0,3,100000,PER,mrr,1,0.7804878048780488
0,3,100000,PER,mrr,3,0.8743411060484232
0,3,100000,PER,mrr,5,0.8782006611274904
0,3,100000,PER,mrr,7,0.878283621140764
0,3,100000,PER,mrr,9,0.878283621140764
0,3,100000,PER,mrr,11,0.878283621140764
0,3,100000,PER,mrr,13,0.878283621140764
0,3,100000,PER,mrr,15,0.878283621140764
0,3,100000,MLP,map,1,0.7668200115008625
0,3,100000,MLP,map,3,0.764711520030669
0,3,100000,MLP,map,5,0.7611904191425468
0,3,100000,MLP,map,7,0.756044239528282
0,3,100000,MLP,map,9,0.7507932119320798
0,3,100000,MLP,map,11,0.7460120924636616
0,3,100000,MLP,map,13,0.742301179732514
0,3,100000,MLP,map,15,0.7397793518482824
0,3,100000,MLP,mrr,1,0.7668200115008625
0,3,100000,MLP,mrr,3,0.8652482269503545
0,3,100000,MLP,mrr,5,0.8698485719762314
0,3,100000,MLP,mrr,7,0.8698964922369178
0,3,100000,MLP,mrr,9,0.8698964922369178
0,3,100000,MLP,mrr,11,0.8698964922369178
0,3,100000,MLP,mrr,13,0.8698964922369178
0,3,100000,MLP,mrr,15,0.8698964922369178
0,3,100000,CART,map,1,0.7577057089252212
0,3,100000,CART,map,3,0.7545564191905655
0,3,100000,CART,map,5,0.7475347687542809
0,3,100000,CART,map,7,0.7411135604067409
0,3,100000,CART,map,9,0.7343147357715135
0,3,100000,CART,map,11,0.7292084245000667
0,3,100000,CART,map,13,0.7259628208629925
0,3,100000,CART,map,15,0.7241725851235753
0,3,100000,CART,mrr,1,0.7577057089252212
0,3,100000,CART,mrr,3,0.8584383096578218
0,3,100000,CART,mrr,5,0.8634637720003573
0,3,100000,CART,mrr,7,0.863623310487422
0,3,100000,CART,mrr,9,0.863623310487422
0,3,100000,CART,mrr,11,0.863623310487422
0,3,100000,CART,mrr,13,0.863623310487422
0,3,100000,CART,mrr,15,0.863623310487422
0,3,100000,RF,map,1,0.763870276065398
0,3,100000,RF,map,3,0.7643467643467642
0,3,100000,RF,map,5,0.7590285595163645
0,3,100000,RF,map,7,0.7529468308363281
0,3,100000,RF,map,9,0.7465205273022182
0,3,100000,RF,map,11,0.7408849018558545
0,3,100000,RF,map,13,0.7367877913147776
0,3,100000,RF,map,15,0.7344714329920381
0,3,100000,RF,mrr,1,0.763870276065398
0,3,100000,RF,mrr,3,0.8644688644688644
0,3,100000,RF,mrr,5,0.8690788885910837
0,3,100000,RF,mrr,7,0.8691618486043573
0,3,100000,RF,mrr,9,0.8691618486043573
0,3,100000,RF,mrr,11,0.8691618486043573
0,3,100000,RF,mrr,13,0.8691618486043573
0,3,100000,RF,mrr,15,0.8691618486043573
0,3,100000,GNB,map,1,0.7710455764075067
0,3,100000,GNB,map,3,0.7687667560321716
0,3,100000,GNB,map,5,0.7638535895144475
0,3,100000,GNB,map,7,0.7581937286085122
0,3,100000,GNB,map,9,0.7529822300357935
0,3,100000,GNB,map,11,0.7492560860516269
0,3,100000,GNB,map,13,0.7469274261954192
0,3,100000,GNB,map,15,0.7456508899940899
0,3,100000,GNB,mrr,1,0.7710455764075067
0,3,100000,GNB,mrr,3,0.8673369079535299
0,3,100000,GNB,mrr,5,0.8714119749776587
0,3,100000,GNB,mrr,7,0.8715460232350313
0,3,100000,GNB,mrr,9,0.8715460232350313
0,3,100000,GNB,mrr,11,0.8715460232350313
0,3,100000,GNB,mrr,13,0.8715460232350313
0,3,100000,GNB,mrr,15,0.8715460232350313
0,3,100000,SVC,map,1,0.774825550187869
0,3,100000,SVC,map,3,0.7716123933917814
0,3,100000,SVC,map,5,0.7664312339714917
0,3,100000,SVC,map,7,0.7609414112755497
0,3,100000,SVC,map,9,0.755531050947446
0,3,100000,SVC,map,11,0.7505426738152474
0,3,100000,SVC,map,13,0.7465002296963255
0,3,100000,SVC,map,15,0.7434515929829671
0,3,100000,SVC,mrr,1,0.774825550187869
0,3,100000,SVC,mrr,3,0.8726069064233316
0,3,100000,SVC,mrr,5,0.8761495795312222
0,3,100000,SVC,mrr,7,0.8761943102522813
0,3,100000,SVC,mrr,9,0.8761943102522813
0,3,100000,SVC,mrr,11,0.8761943102522813
0,3,100000,SVC,mrr,13,0.8761943102522813
0,3,100000,SVC,mrr,15,0.8761943102522813
0,3,100000,recModel,map,1,0.6783704100777271
0,3,100000,recModel,map,3,0.6756157122010781
0,3,100000,recModel,map,5,0.6711373179665863
0,3,100000,recModel,map,7,0.6653336542336045
0,3,100000,recModel,map,9,0.6593747296708969
0,3,100000,recModel,map,11,0.653246497457774
0,3,100000,recModel,map,13,0.6472187237608963
0,3,100000,recModel,map,15,0.6414414152808684
0,3,100000,recModel,mrr,1,0.6783704100777271
0,3,100000,recModel,mrr,3,0.8007236665773251
0,3,100000,recModel,mrr,5,0.811458054140981
0,3,100000,recModel,mrr,7,0.812472718918712
0,3,100000,recModel,mrr,9,0.8125062220009955
0,3,100000,recModel,mrr,11,0.8125062220009955
0,3,100000,recModel,mrr,13,0.8125062220009955
0,3,100000,recModel,mrr,15,0.8125062220009955
0,4,100000,KNN,map,1,0.7825392600479105
0,4,100000,KNN,map,3,0.7779330435039777
0,4,100000,KNN,map,5,0.7716594948688374
0,4,100000,KNN,map,7,0.7653337760443544
0,4,100000,KNN,map,9,0.7591478594119062
0,4,100000,KNN,map,11,0.753619633962584
0,4,100000,KNN,map,13,0.7496332355181482
